id,label,media_type
http://publications.europa.eu/resource/authority/file-type/XLSM,XLSM,
http://publications.europa.eu/resource/authority/file-type/XLSX,XLSX,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
http://publications.europa.eu/resource/authority/file-type/XML,XML,http://www.iana.org/assignments/media-types/text/xml
http://publications.europa.eu/resource/authority/file-type/XSLFO,XSLFO,
http://publications.europa.eu/resource/authority/file-type/XSLT,XSLT,http://www.iana.org/assignments/media-types/application/xslt+xml
http://publications.europa.eu/resource/authority/file-type/XYZ,XYZ,
http://publications.europa.eu/resource/authority/file-type/XZ,XZ,
http://publications.europa.eu/resource/authority/file-type/YAML,YAML,
http://publications.europa.eu/resource/authority/file-type/Z,Z,
http://publications.europa.eu/resource/authority/file-type/ZIP,ZIP,http://www.iana.org/assignments/media-types/application/zip
